Jurisdiction,P1,P2,P3,E1,E2,E3,R1,R2,R3,D1,D2,D3,P1_N,P2_N,P3_N,E1_N,E2_N,E3_N,R1_N,R2_N,R3_N,D1_N,D2_N,D3_N,BLI
Asia,3.6,0.6,1,1.2,1.8,0.95,1.2,0.9,2.25,1.6,0.4,0.6,0.72,0.3,1,0.6,0.9,0.48,0.6,0.45,0.7525,0.8,0.2,0.6,0.614
Outside Asia,4.555555556,1.222222222,0.777777778,1.222222222,1.777777778,1.103333333,1.888888889,1.444444444,2.666666667,1.666666667,0.444444444,0.777777778,0.911111111,0.611111111,0.777777778,0.611111111,0.888888889,0.553333333,0.944444444,0.722222222,0.89,0.833333333,0.222222222,0.777777778,0.73
