"","bli","gdp_growth","gfcf_growth","gii","recovery_rate","time","cost","wb_resolving_insolvency"
"bli",1,0.0405346949505986,-0.196559738337396,0.220163836273425,-0.0986842694389132,0.195643956363872,0.2140827682275,0.320489372116997
"gdp_growth",0.0405346949505986,1,0.82531529913162,-0.293948868683105,-0.756563535353394,0.674527705045571,0.743814700693633,-0.390177407420013
"gfcf_growth",-0.196559738337396,0.82531529913162,1,-0.221480748890556,-0.859228152215977,0.590405828926699,0.695612514254696,-0.679998983838666
"gii",0.220163836273425,-0.293948868683105,-0.221480748890556,1,0.00822966404138097,-0.011193764646373,-0.0891545402552398,0.444920715460293
"recovery_rate",-0.0986842694389132,-0.756563535353394,-0.859228152215977,0.00822966404138097,1,-0.84953539893132,-0.910795004749847,0.550764527116206
"time",0.195643956363872,0.674527705045571,0.590405828926699,-0.011193764646373,-0.84953539893132,1,0.938759145009856,-0.405807159736555
"cost",0.2140827682275,0.743814700693633,0.695612514254696,-0.0891545402552398,-0.910795004749847,0.938759145009856,1,-0.510610714231138
"wb_resolving_insolvency",0.320489372116997,-0.390177407420013,-0.679998983838666,0.444920715460293,0.550764527116206,-0.405807159736555,-0.510610714231138,1
