"","bli","gdp_growth","gfcf_growth","gii","recovery_rate","time","cost","wb_resolving_insolvency"
"bli",NA,0.885951986611734,0.482600671149205,0.430425070209167,0.726413291572208,0.484683677691628,0.443583297021581,0.244176669981495
"gdp_growth",0.885951986611734,NA,0.000151572155925539,0.287593809302338,0.00109630708529984,0.0058106642425666,0.00147706677585657,0.15049505912997
"gfcf_growth",0.482600671149205,0.000151572155925539,NA,0.427602048639646,4.06206012413257e-05,0.0204934086748603,0.00398141941537355,0.00528258098080836
"gii",0.430425070209167,0.287593809302338,0.427602048639646,NA,0.976778178483128,0.968417644948545,0.752026780445861,0.0965522048107128
"recovery_rate",0.726413291572208,0.00109630708529984,4.06206012413257e-05,0.976778178483128,NA,6.11043838627534e-05,2.38145669362311e-06,0.0333588653071408
"time",0.484683677691628,0.0058106642425666,0.0204934086748603,0.968417644948545,6.11043838627534e-05,NA,2.21266545530341e-07,0.133408765880297
"cost",0.443583297021581,0.00147706677585657,0.00398141941537355,0.752026780445861,2.38145669362311e-06,2.21266545530341e-07,NA,0.0517809706477756
"wb_resolving_insolvency",0.244176669981495,0.15049505912997,0.00528258098080836,0.0965522048107128,0.0333588653071408,0.133408765880297,0.0517809706477756,NA
